iter,HPWL,LSE,Overflow,lambda
217,1.7154e+08,1.71772e+08,0.95874,10
218,1.71539e+08,1.71772e+08,0.95874,10
219,1.71538e+08,1.71772e+08,0.95874,10
220,1.71537e+08,1.71772e+08,0.95874,10
221,1.71536e+08,1.71772e+08,0.95874,10
222,1.71536e+08,1.71773e+08,0.95874,10
223,1.71535e+08,1.71773e+08,0.95874,10
224,1.71534e+08,1.71773e+08,0.95874,10
225,1.71533e+08,1.71773e+08,0.95874,10
226,1.71532e+08,1.71773e+08,0.95874,10
227,1.71531e+08,1.71773e+08,0.95874,10
228,1.7153e+08,1.71773e+08,0.95874,10
229,1.7153e+08,1.71773e+08,0.95874,10
230,1.71529e+08,1.71773e+08,0.95874,10
231,1.71528e+08,1.71773e+08,0.95874,10
232,1.71527e+08,1.71774e+08,0.95874,10
233,1.71526e+08,1.71774e+08,0.95874,10
234,1.71526e+08,1.71774e+08,0.95874,10
235,1.71525e+08,1.71774e+08,0.95874,10
236,1.71524e+08,1.71774e+08,0.95874,10
237,1.71524e+08,1.71774e+08,0.95874,10
238,1.71523e+08,1.71774e+08,0.95874,10
239,1.71522e+08,1.71774e+08,0.95874,10
240,1.71521e+08,1.71775e+08,0.95874,10
241,1.71521e+08,1.71775e+08,0.95874,10
242,1.7152e+08,1.71775e+08,0.95874,10
243,1.71519e+08,1.71775e+08,0.95874,10
244,1.71519e+08,1.71775e+08,0.95874,10
245,1.71518e+08,1.71775e+08,0.95874,10
246,1.71517e+08,1.71776e+08,0.95874,10
247,1.71517e+08,1.71776e+08,0.95874,10
248,1.71516e+08,1.71776e+08,0.95874,10
249,1.71516e+08,1.71776e+08,0.95874,10
250,1.71515e+08,1.71776e+08,0.95874,10
251,1.71514e+08,1.71776e+08,0.95874,10
252,1.71514e+08,1.71777e+08,0.95874,10
253,1.71513e+08,1.71777e+08,0.95874,10
254,1.71513e+08,1.71777e+08,0.95874,10
255,1.71512e+08,1.71777e+08,0.95874,10
256,1.71511e+08,1.71777e+08,0.95874,10
257,1.71511e+08,1.71778e+08,0.95874,10
258,1.7151e+08,1.71778e+08,0.95874,10
259,1.7151e+08,1.71778e+08,0.95874,10
260,1.71509e+08,1.71778e+08,0.95874,10
261,1.71509e+08,1.71778e+08,0.95874,10
262,1.71508e+08,1.71778e+08,0.95874,10
263,1.71508e+08,1.71779e+08,0.95874,10
264,1.71507e+08,1.71779e+08,0.95874,10
265,1.71507e+08,1.71779e+08,0.95874,10
266,1.71506e+08,1.71779e+08,0.95874,10
267,1.71506e+08,1.71779e+08,0.95874,10
268,1.71505e+08,1.7178e+08,0.95874,10
269,1.71505e+08,1.7178e+08,0.95874,10
270,1.71504e+08,1.7178e+08,0.95874,10
271,1.71504e+08,1.7178e+08,0.95874,10
272,1.71503e+08,1.7178e+08,0.95874,10
273,1.71503e+08,1.71781e+08,0.95874,10
274,1.71503e+08,1.71781e+08,0.95874,10
275,1.71502e+08,1.71781e+08,0.95874,10
276,1.71502e+08,1.71781e+08,0.95874,10
277,1.71501e+08,1.71781e+08,0.95874,10
278,1.71501e+08,1.71782e+08,0.95874,10
279,1.715e+08,1.71782e+08,0.95874,10
280,1.715e+08,1.71782e+08,0.95874,10
281,1.715e+08,1.71782e+08,0.95874,10
282,1.71499e+08,1.71782e+08,0.95874,10
283,1.71499e+08,1.71783e+08,0.95874,10
284,1.71498e+08,1.71783e+08,0.95874,10
285,1.71498e+08,1.71783e+08,0.95874,10
286,1.71498e+08,1.71783e+08,0.95874,10
287,1.71497e+08,1.71783e+08,0.95874,10
288,1.71497e+08,1.71784e+08,0.95874,10
289,1.71497e+08,1.71784e+08,0.95874,10
290,1.71496e+08,1.71784e+08,0.95874,10
291,1.71496e+08,1.71784e+08,0.95874,10
292,1.71496e+08,1.71784e+08,0.95874,10
293,1.71495e+08,1.71785e+08,0.95874,10
294,1.71495e+08,1.71785e+08,0.95874,10
295,1.71495e+08,1.71785e+08,0.95874,10
296,1.71494e+08,1.71785e+08,0.95874,10
297,1.71494e+08,1.71785e+08,0.95874,10
298,1.71494e+08,1.71785e+08,0.95874,10
299,1.71493e+08,1.71786e+08,0.95874,10
300,1.71493e+08,1.71786e+08,0.95874,10
